"State Name","Aggregate Total Debt","Aggregate Debt per Capita"
"California","$770.64B","$19,491"
"New York","$634.22B","$31,395"
"Texas","$461.03B","$15,818"
"Illinois","$362.82B","$28,317"
"New Jersey","$288.62B","$31,071"
"Florida","$185.19B","$ 8,598"
"Massachusetts","$173.10B","$24,624"
"Pennsylvania","$145.90B","$11,221"
"Washington","$118.75B","$15,412"
"Ohio","$117.80B","$ 9,983"
