"","State Name","Aggregate Total Debt","Aggregate Debt per Capita"
"1","California","1,045.07B","26,432"
"2","New York","  798.46B","39,525"
"3","Texas","  550.03B","18,872"
"4","Illinois","  407.59B","31,812"
"5","New Jersey","  311.73B","33,559"
"6","Florida","  233.94B","10,862"
"7","Massachusetts","  198.63B","28,254"
"8","Pennsylvania","  175.93B","13,530"
"9","Ohio","  149.06B","12,633"
"10","Washington","  143.08B","18,570"
